event_date,daily_trx
2023-04-20,41993
2023-08-17,87952
2021-11-19,5519
2020-06-05,3269
2021-05-25,7471
2020-05-23,2492
2022-03-01,12998
2020-08-28,4974
2021-09-01,14401
2020-11-14,3395
2021-05-03,12848
2024-02-22,71099
2023-01-30,95568
2024-01-30,113676
2023-09-05,76256
2021-07-25,4723
2022-08-14,20451
2019-10-07,2051
2021-04-18,3744
2021-04-27,10437
2020-07-01,3603
2022-12-29,59517
2022-05-07,7709
2022-05-16,8704
2020-08-19,3136
2021-12-06,8931
2021-07-31,10405
2019-11-14,2322
2023-07-04,79818
2020-10-10,3200
2021-09-22,6943
2023-10-26,98904
2021-01-06,11880
2023-12-14,66308
2022-07-15,43795
2020-09-14,2980
2020-10-30,4894
2020-02-21,1617
2023-01-13,56818
2023-08-19,34598
2019-08-27,1089
2020-01-21,2519
2021-10-07,7221
2022-11-24,38950
2021-01-27,11573
2021-03-11,4108
2023-04-22,42188
2022-09-17,33456
2020-11-29,3777
2022-05-29,9979
2023-03-25,68694
2022-06-11,6175
2020-05-21,3378
2021-11-10,8891
2022-03-18,6103
2020-04-21,1760
2022-06-26,52668
2023-07-19,42669
2021-06-28,17002
2021-11-12,7594
2022-02-25,13984
2023-12-16,70841
2019-11-12,2561
2021-03-30,11399
2024-02-03,68520
2023-01-11,43356
2021-04-16,11654
2023-09-16,45311
2023-09-18,77759
2023-06-08,46887
2024-02-16,87729
2021-07-08,7305
2020-09-29,5395
2021-05-23,4151
2022-01-28,18349
2023-11-18,40839
2022-10-08,53575
2022-08-01,82476
2020-11-12,3080
2020-07-16,2853
2022-12-14,57055
2020-03-30,1750
2020-06-07,1730
2021-02-13,4287
2020-01-06,3085
2023-02-27,140316
2022-06-28,125570
2019-09-22,2192
2021-08-26,11506
2023-12-29,85770
2023-09-03,54432
2019-11-25,3018
2023-06-13,42509
2023-03-14,40524
2021-02-22,5791
2020-02-09,1906
2021-10-22,7578
2022-10-29,49402
2023-02-04,67234
2023-07-21,44893
2021-06-26,8796
2020-05-04,2437
2019-11-10,1901
2023-05-09,68661
2023-01-17,42511
2020-03-09,2707
2022-05-03,10116
2022-12-10,32024
2021-08-11,8051
2023-02-08,50588
2021-06-22,7127
2020-09-10,3111
2019-12-18,2954
2020-02-05,3003
2023-03-29,113863
2020-09-25,4179
2021-07-12,7850
2020-03-26,1577
2023-07-17,75084
2021-02-26,9216
2021-02-09,6687
2023-06-17,38066
2020-05-25,3182
2020-06-03,3510
2022-09-04,34745
2023-08-15,52862
2020-12-03,6701
2020-02-25,3224
2020-07-20,2762
2021-05-01,9255
2023-06-04,43179
2021-08-30,14510
2019-10-26,3153
2024-02-23,71450
2022-07-02,48771
2021-01-10,3847
2021-10-26,11641
2020-01-25,1903
2023-10-30,116573
2022-11-28,142384
2022-02-16,7518
2020-04-12,1074
2024-01-17,75139
2023-05-26,146303
2023-01-02,37729
2020-11-16,3321
2023-08-03,78697
2020-08-26,4588
2020-04-17,1536
2021-11-06,7775
2021-01-23,4761
2022-11-11,34676
2023-06-30,90843
2023-09-07,54646
2020-08-04,7027
2020-08-15,2360
2022-04-16,6155
2023-01-28,80036
2024-02-20,67884
2022-08-18,35341
2022-07-11,54641
2023-03-10,72535
2020-10-14,3279
2021-11-17,6688
2022-09-13,45598
2022-04-03,8437
2021-04-14,9764
2020-06-27,3260
2022-05-20,7247
2019-10-11,2762
2019-09-07,1847
2022-03-14,7724
2023-11-14,57362
2022-05-25,14104
2021-05-06,12211
2021-01-25,6722
2022-03-20,4899
2022-10-10,43886
2023-11-16,51081
2022-11-26,49731
2021-07-10,5809
2020-11-27,6033
2023-02-03,55249
2020-02-23,1607
2020-07-14,3267
2023-06-10,41825
2022-08-03,76399
2021-08-28,13550
2019-10-28,3053
2021-08-13,6673
2019-09-24,2236
2020-01-04,2798
2022-10-27,66417
2022-11-13,23513
2020-09-27,3127
2022-08-29,103094
2019-11-27,3979
2021-07-29,14054
2020-08-21,3154
2022-05-18,8095
2021-06-07,7901
2021-02-11,5469
2021-09-24,8270
2022-02-10,8696
2023-03-27,72731
2020-06-09,3217
2020-10-12,3729
2021-11-15,7494
2023-08-21,64999
2023-09-01,79469
2021-03-13,3724
2020-07-29,4443
2020-03-11,2560
2024-01-19,56449
2023-10-09,76645
2020-11-01,2903
2023-08-01,99287
2020-05-02,1625
2021-01-08,9131
2022-06-09,8244
2020-05-19,3084
2022-09-19,44904
2020-03-28,1690
2022-04-01,13276
2022-04-18,6900
2023-12-31,55624
2023-02-06,62049
2020-04-23,1542
2020-09-12,3023
2022-05-31,14614
2019-08-25,436
2021-12-04,7345
2024-02-18,36499
2023-05-20,33682
2022-12-27,66017
2022-01-03,8490
2022-08-12,53133
2022-07-17,23110
2020-08-24,3528
2019-09-09,874
2019-12-24,4114
2021-10-20,5770
2020-02-11,2560
2020-01-19,1812
2021-02-24,9681
2023-03-12,48077
2021-05-12,7397
2020-12-18,11644
2021-04-29,13491
2022-05-05,10699
2021-12-19,6167
2020-11-10,3736
